CYC_N	51.30192	23.13417	171.371	981089.181
255	50.97036	18.21932	182.345	981119.778
286	50.88389	21.85830	187.669	981110.457
WYS_N	50.91005	22.66639	239.842	981108.916
261	50.51209	18.30109	233.923	981079.755
265	50.39896	18.62712	226.970	981069.538
275	50.35737	20.02633	296.894	981042.899
288	50.49837	21.54082	153.055	981079.650
295	50.51825	22.14260	159.778	981081.145
267	50.08733	18.20551	191.366	981032.983
277	50.03709	19.22000	244.650	981034.173
311	49.91463	18.51070	242.016	981014.507
323	49.83406	19.93630	305.642	980970.468
324	49.96857	20.42416	241.233	981006.450
331	49.98854	20.92448	221.453	981000.206
314	49.53779	19.00670	674.698	980855.955
320	49.48030	19.69737	620.490	980840.742
326	49.55943	20.43671	369.716	980892.524
333	49.62966	20.94871	368.129	980904.858
328	49.44072	20.71585	393.112	980881.408
USG_N	49.10416	22.65030	659.888	980819.809
GWW9	52.74746	15.19022	117.195	981285.724
PL02	52.57833	15.55250	64.941	981272.052
WRK8	52.71562	16.36430	55.564	981265.577
GNI8	52.52846	17.58454	17.986	981235.446
NTM8	52.31845	16.11883	74.134	981247.527
BOR4	52.27506	17.07404	80.848	981245.310
ZAR8	51.64467	15.16164	146.717	981187.956
GLO8	51.65827	16.05095	120.373	981205.760
2304	51.62822	17.09995	108.851	981203.106
2402	51.70181	18.36019	144.889	981172.604
2108	51.18849	15.03345	215.773	981124.712
LEG8	51.19829	16.16397	122.657	981149.029
2309	51.20025	17.10823	138.426	981146.261
KEP8	51.28361	17.97637	166.638	981157.604
2110	51.00259	15.62400	481.507	981044.363
KLD8	50.42797	16.64839	290.306	981041.038
KLO8	50.91213	18.94035	234.973	981097.167
PL01	50.51222	19.20194	327.217	981064.548
LEL8	50.68504	19.63307	255.026	981072.675
KAT8	50.24772	19.04334	260.869	981049.978
ZYW8	49.68822	19.19145	346.050	980941.043
